organisation,Ministry of Statistics and Programme Implementation
sectors,"Agriculture and Allied"
updated_frequency,Yearly
granularity,"Yearly"
time_saved,3 hours
source,"Statistical Year Book India 2018"
source_link,"http://mospi.nic.in/publication/statistical-year-book-india"
time_period,"2005 to 2015"
units,"value in Absolute Number"
citation,"Ministry of Statistics and Programme Implementation. State-wise Incidence of Livestock Diseases In India [Data set]. Dataful. https://dataful.in/dataset/20629"
