fiscal_year,disease,incidence_type,value,unit,note
2005,Foot & Mouth Disease,Outbreak,2270.0,value in Absolute Number,
2005,Haemorrhagic Septicaemia,Outbreak,775.0,value in Absolute Number,
2005,Black Quarter,Outbreak,519.0,value in Absolute Number,
2005,Anthrax,Outbreak,119.0,value in Absolute Number,
2005,Fascioliasis,Outbreak,67.0,value in Absolute Number,
2005,Enterotoxaemia,Outbreak,521.0,value in Absolute Number,
2005,Sheep & Goat Pox,Outbreak,529.0,value in Absolute Number,
2005,Cow Pox,Outbreak,,value in Absolute Number,
2005,Buffalo Pox,Outbreak,,value in Absolute Number,
2005,Blue Tongue,Outbreak,1183.0,value in Absolute Number,
2005,C.C.P.P.,Outbreak,12.0,value in Absolute Number,
2005,Amphistomiasis,Outbreak,,value in Absolute Number,
2005,Schistosomiasis,Outbreak,,value in Absolute Number,
2005,Swine Fever,Outbreak,54.0,value in Absolute Number,
2005,Salmonellosis,Outbreak,,value in Absolute Number,
2005,Coccidiosis,Outbreak,313.0,value in Absolute Number,
2005,Ranikhet (New Castle) Disease,Outbreak,391.0,value in Absolute Number,
2005,Fowl Pox,Outbreak,79.0,value in Absolute Number,
2005,Fowl Cholera,Outbreak,1.0,value in Absolute Number,
2005,Mareks Disease,Outbreak,,value in Absolute Number,
2005,I.B.D.,Outbreak,249.0,value in Absolute Number,
2005,Duck Plague,Outbreak,17.0,value in Absolute Number,
2005,Chronic Respiratory Disease,Outbreak,119.0,value in Absolute Number,
2005,Canine Distemper,Outbreak,,value in Absolute Number,
2005,Rabies,Outbreak,33.0,value in Absolute Number,
2005,Babesiosis,Outbreak,26.0,value in Absolute Number,
2005,Mastitis,Outbreak,,value in Absolute Number,
2005,Trypanismiasis,Outbreak,22.0,value in Absolute Number,
2005,Mange,Outbreak,3.0,value in Absolute Number,
2005,Peste Des Petits Ruminant,Outbreak,1071.0,value in Absolute Number,
2005,Anaplasmosis,Outbreak,13.0,value in Absolute Number,
2005,Brucellosis,Outbreak,3.0,value in Absolute Number,
2005,Coryza,Outbreak,17.0,value in Absolute Number,
2005,Highly Pathogenic Avian Influenza,Outbreak,,value in Absolute Number,
