State,District,Disease,Year,Week,Cases,Deaths
Maharashtra,Pune,Dengue,2017,1,31,0
Maharashtra,Pune,Dengue,2017,2,24,0
Maharashtra,Pune,Dengue,2017,3,22,0
Maharashtra,Pune,Dengue,2017,4,13,0
Maharashtra,Pune,Dengue,2017,5,15,0
Maharashtra,Pune,Dengue,2017,6,7,0
Maharashtra,Pune,Dengue,2017,7,4,0
Maharashtra,Pune,Dengue,2017,8,0,0
Maharashtra,Pune,Dengue,2017,9,6,0
Maharashtra,Pune,Dengue,2017,10,0,0
Maharashtra,Pune,Dengue,2017,11,4,1
Maharashtra,Pune,Dengue,2017,12,0,0
Maharashtra,Pune,Dengue,2017,13,8,0
Maharashtra,Pune,Dengue,2017,14,0,0
Maharashtra,Pune,Dengue,2017,15,11,0
Maharashtra,Pune,Dengue,2017,16,20,0
Maharashtra,Pune,Dengue,2017,17,15,0
Maharashtra,Pune,Dengue,2017,18,20,0
Maharashtra,Pune,Dengue,2017,19,26,0
Maharashtra,Pune,Dengue,2017,20,30,0
Maharashtra,Pune,Dengue,2017,21,55,0
Maharashtra,Pune,Dengue,2017,22,52,0
Maharashtra,Pune,Dengue,2017,23,60,0
Maharashtra,Pune,Dengue,2017,24,69,0
Maharashtra,Pune,Dengue,2017,25,78,0
Maharashtra,Pune,Dengue,2017,26,76,0
Maharashtra,Pune,Dengue,2017,27,87,0
Maharashtra,Pune,Dengue,2017,28,99,0
Maharashtra,Pune,Dengue,2017,29,95,0
Maharashtra,Pune,Dengue,2017,30,107,0
Maharashtra,Pune,Dengue,2017,31,117,0
Maharashtra,Pune,Dengue,2017,32,119,0
Maharashtra,Pune,Dengue,2017,33,124,0
Maharashtra,Pune,Dengue,2017,34,0,0
Maharashtra,Pune,Dengue,2017,35,115,0
Maharashtra,Pune,Dengue,2017,36,111,0
Maharashtra,Pune,Dengue,2017,37,102,0
Maharashtra,Pune,Dengue,2017,38,123,0
Maharashtra,Pune,Dengue,2017,39,128,0
Maharashtra,Pune,Dengue,2017,40,105,0
Maharashtra,Pune,Dengue,2017,41,110,0
Maharashtra,Pune,Dengue,2017,42,0,0
Maharashtra,Pune,Dengue,2017,43,116,0
Maharashtra,Pune,Dengue,2017,44,96,0
Maharashtra,Pune,Dengue,2017,45,100,0
Maharashtra,Pune,Dengue,2017,46,69,0
Maharashtra,Pune,Dengue,2017,47,74,0
Maharashtra,Pune,Dengue,2017,48,63,0
Maharashtra,Pune,Dengue,2017,49,55,0
Maharashtra,Pune,Dengue,2017,50,55,0
Maharashtra,Pune,Dengue,2017,51,56,0
Maharashtra,Pune,Dengue,2017,52,38,0
Maharashtra,Pune,Dengue,2018,1,27,0
Maharashtra,Pune,Dengue,2018,2,34,0
Maharashtra,Pune,Dengue,2018,3,22,0
Maharashtra,Pune,Dengue,2018,4,30,0
Maharashtra,Pune,Dengue,2018,5,11,0
Maharashtra,Pune,Dengue,2018,6,10,0
Maharashtra,Pune,Dengue,2018,7,5,0
Maharashtra,Pune,Dengue,2018,8,0,0
Maharashtra,Pune,Dengue,2018,9,0,0
Maharashtra,Pune,Dengue,2018,10,0,0
Maharashtra,Pune,Dengue,2018,11,3,0
Maharashtra,Pune,Dengue,2018,12,0,0
Maharashtra,Pune,Dengue,2018,13,3,0
Maharashtra,Pune,Dengue,2018,14,23,0
Maharashtra,Pune,Dengue,2018,15,24,0
Maharashtra,Pune,Dengue,2018,16,15,0
Maharashtra,Pune,Dengue,2018,17,15,0
Maharashtra,Pune,Dengue,2018,18,26,1
Maharashtra,Pune,Dengue,2018,19,30,0
Maharashtra,Pune,Dengue,2018,20,51,2
Maharashtra,Pune,Dengue,2018,21,34,0
Maharashtra,Pune,Dengue,2018,22,48,0
Maharashtra,Pune,Dengue,2018,23,48,0
Maharashtra,Pune,Dengue,2018,24,64,0
Maharashtra,Pune,Dengue,2018,25,84,0
Maharashtra,Pune,Dengue,2018,26,96,0
Maharashtra,Pune,Dengue,2018,27,88,0
Maharashtra,Pune,Dengue,2018,28,97,0
Maharashtra,Pune,Dengue,2018,29,91,0
Maharashtra,Pune,Dengue,2018,30,109,0
Maharashtra,Pune,Dengue,2018,31,109,0
Maharashtra,Pune,Dengue,2018,32,120,0
Maharashtra,Pune,Dengue,2018,33,123,2
Maharashtra,Pune,Dengue,2018,34,121,0
Maharashtra,Pune,Dengue,2018,35,117,0
Maharashtra,Pune,Dengue,2018,36,136,0
Maharashtra,Pune,Dengue,2018,37,125,1
Maharashtra,Pune,Dengue,2018,38,108,0
Maharashtra,Pune,Dengue,2018,39,118,0
Maharashtra,Pune,Dengue,2018,40,107,0
Maharashtra,Pune,Dengue,2018,41,116,0
Maharashtra,Pune,Dengue,2018,42,110,0
Maharashtra,Pune,Dengue,2018,43,96,0
Maharashtra,Pune,Dengue,2018,44,89,0
Maharashtra,Pune,Dengue,2018,45,0,0
Maharashtra,Pune,Dengue,2018,46,83,0
Maharashtra,Pune,Dengue,2018,47,73,0
