district_id,district_name,division,block,village,species,disease_id,disease_name,week_start,reported_cases,deaths,reporter_type,lat,lon,state
PUNE,Pune,Pune,Baramati,barawadi4,buffalo,fmd,Foot-and-Mouth Disease,2024-07-01,0,0,farmer,18.435991,73.858307,Maharashtra
PUNE,Pune,Pune,Junnar,junnwadi98,goat,fmd,Foot-and-Mouth Disease,2024-07-01,0,0,para_vet,18.579842,73.808775,Maharashtra
PUNE,Pune,Pune,Velhe,velhbudruk11,sheep,ppr,Peste des Petits Ruminants,2024-07-01,0,0,para_vet,18.630345,73.820738,Maharashtra
PUNE,Pune,Pune,Bhor,bhorkhurd21,buffalo,brucellosis,Brucellosis,2024-07-01,0,0,livestock_inspector,18.484237,74.003557,Maharashtra
AHMEDNAGAR,Ahmednagar,Nashik,Nevasa,nevanagar75,goat,fmd,Foot-and-Mouth Disease,2024-07-01,0,0,livestock_inspector,19.053399,74.897198,Maharashtra
AHMEDNAGAR,Ahmednagar,Nashik,Nevasa,nevabudruk99,goat,ppr,Peste des Petits Ruminants,2024-07-01,0,0,field_vet,18.978266,74.72843,Maharashtra
AHMEDNAGAR,Ahmednagar,Nashik,Sangamner,sangbudruk31,poultry,ai_h5n1,Avian Influenza (H5N1),2024-07-01,0,0,farmer,19.017061,74.768207,Maharashtra
NASHIK,Nashik,Nashik,Niphad,niphkhurd76,buffalo,lsd,Lumpy Skin Disease,2024-07-01,0,0,para_vet,19.858457,73.852352,Maharashtra
KOLHAPUR,Kolhapur,Kolhapur,Panhala,panhbudruk60,cattle,fmd,Foot-and-Mouth Disease,2024-07-01,0,0,para_vet,16.817346,74.115915,Maharashtra
KOLHAPUR,Kolhapur,Kolhapur,Radhanagari,radhwadi12,buffalo,fmd,Foot-and-Mouth Disease,2024-07-01,0,0,para_vet,16.604893,74.238992,Maharashtra
KOLHAPUR,Kolhapur,Kolhapur,Gaganbawada,gagagaon24,sheep,ppr,Peste des Petits Ruminants,2024-07-01,0,0,farmer,16.733511,74.295864,Maharashtra
KOLHAPUR,Kolhapur,Kolhapur,Shirol,shirpur86,goat,brucellosis,Brucellosis,2024-07-01,0,0,field_vet,16.692167,74.372005,Maharashtra
SANGLI,Sangli,Kolhapur,Walwa,walwgaon32,cattle,fmd,Foot-and-Mouth Disease,2024-07-01,0,0,field_vet,16.787896,74.562955,Maharashtra
SANGLI,Sangli,Kolhapur,Miraj,mirapur35,sheep,fmd,Foot-and-Mouth Disease,2024-07-01,0,0,field_vet,16.883849,74.646784,Maharashtra
SANGLI,Sangli,Kolhapur,Jath,jathpeth71,goat,ppr,Peste des Petits Ruminants,2024-07-01,0,0,livestock_inspector,16.870672,74.465062,Maharashtra
SANGLI,Sangli,Kolhapur,Miraj,miratarf75,sheep,ppr,Peste des Petits Ruminants,2024-07-01,0,0,panchayat_member,16.746828,74.469734,Maharashtra
SANGLI,Sangli,Kolhapur,Kadegaon,kadenagar80,buffalo,brucellosis,Brucellosis,2024-07-01,0,0,para_vet,16.980129,74.502521,Maharashtra
SANGLI,Sangli,Kolhapur,Walwa,walwnagar86,goat,brucellosis,Brucellosis,2024-07-01,0,0,para_vet,16.782442,74.667712,Maharashtra
SOLAPUR,Solapur,Pune,Karmala,karmbudruk9,buffalo,fmd,Foot-and-Mouth Disease,2024-07-01,0,0,field_vet,17.615244,75.909222,Maharashtra
NAGPUR,Nagpur,Nagpur,Hingna,hingbudruk29,cattle,lsd,Lumpy Skin Disease,2024-07-01,0,0,para_vet,21.040006,78.952064,Maharashtra
NAGPUR,Nagpur,Nagpur,Umred,umrepeth7,cattle,brucellosis,Brucellosis,2024-07-01,0,0,panchayat_member,21.070559,79.192701,Maharashtra
LATUR,Latur,Aurangabad,Nilanga,nilabudruk99,cattle,fmd,Foot-and-Mouth Disease,2024-07-01,0,0,panchayat_member,18.404179,76.482174,Maharashtra
LATUR,Latur,Aurangabad,Renapur,renatarf70,buffalo,fmd,Foot-and-Mouth Disease,2024-07-01,0,0,farmer,18.300312,76.479778,Maharashtra
LATUR,Latur,Aurangabad,Nilanga,nilabudruk56,sheep,ppr,Peste des Petits Ruminants,2024-07-01,0,0,livestock_inspector,18.267507,76.511239,Maharashtra
LATUR,Latur,Aurangabad,Shirur Anantpal,shirwadi51,cattle,brucellosis,Brucellosis,2024-07-01,0,0,panchayat_member,18.428118,76.418531,Maharashtra
JALGAON,Jalgaon,Nashik,Raver,ravekhurd17,goat,fmd,Foot-and-Mouth Disease,2024-07-01,0,0,livestock_inspector,21.058538,75.581791,Maharashtra
JALGAON,Jalgaon,Nashik,Yawal,yawanagar51,buffalo,lsd,Lumpy Skin Disease,2024-07-01,0,0,para_vet,20.880499,75.619784,Maharashtra
JALGAON,Jalgaon,Nashik,Yawal,yawapeth91,buffalo,brucellosis,Brucellosis,2024-07-01,0,0,para_vet,20.988346,75.632739,Maharashtra
JALGAON,Jalgaon,Nashik,Raver,ravegaon36,poultry,ai_h5n1,Avian Influenza (H5N1),2024-07-01,0,0,livestock_inspector,20.930859,75.552013,Maharashtra
PUNE,Pune,Pune,Velhe,velhtarf34,cattle,fmd,Foot-and-Mouth Disease,2024-07-08,0,0,field_vet,18.454298,73.885547,Maharashtra
PUNE,Pune,Pune,Indapur,indapeth58,goat,fmd,Foot-and-Mouth Disease,2024-07-08,0,0,farmer,18.398316,73.773179,Maharashtra
PUNE,Pune,Pune,Mulshi,mulskhurd41,buffalo,lsd,Lumpy Skin Disease,2024-07-08,0,0,farmer,18.593264,73.991963,Maharashtra
PUNE,Pune,Pune,Junnar,junnpur82,buffalo,brucellosis,Brucellosis,2024-07-08,0,0,livestock_inspector,18.401176,73.71038,Maharashtra
